,state,min,max
2018-08-17 10:24:48.701674,-60.0,-63.0,-57.0
2018-08-17 10:27:45.379340,-63.0,-63.0,-57.0
2018-08-17 10:27:45.386340,-63.0,-63.0,-57.0
2018-08-17 10:27:45.543356,-63.0,-63.0,-57.0
2018-08-17 10:27:45.547357,-63.0,-63.0,-57.0
2018-08-17 10:27:45.699372,-63.0,-63.0,-57.0
2018-08-17 10:27:45.705372,-63.0,-63.0,-57.0
2018-08-17 10:27:45.859388,-63.0,-63.0,-57.0
2018-08-17 10:27:45.864388,-63.0,-63.0,-57.0
2018-08-17 10:27:46.023404,-63.0,-63.0,-57.0
2018-08-17 10:27:46.028405,-63.0,-63.0,-57.0
2018-08-17 10:27:46.186420,-63.0,-63.0,-57.0
2018-08-17 10:27:46.190421,-63.0,-63.0,-57.0
2018-08-17 10:27:46.345436,-63.0,-63.0,-57.0
2018-08-17 10:27:46.352437,-63.0,-63.0,-57.0
2018-08-17 10:27:46.507453,-63.0,-63.0,-57.0
2018-08-17 10:27:46.514453,-63.0,-63.0,-57.0
2018-08-17 10:27:46.670469,-63.0,-63.0,-57.0
2018-08-17 10:27:46.675469,-63.0,-63.0,-57.0
2018-08-17 10:27:46.831485,-63.0,-63.0,-57.0
2018-08-17 10:27:46.835485,-63.0,-63.0,-57.0
2018-08-17 10:27:46.992501,-62.333333333333336,-63.0,-57.0
2018-08-17 10:27:46.997502,-62.333333333333336,-63.0,-57.0
2018-08-17 10:27:47.154517,-62.333333333333336,-63.0,-57.0
2018-08-17 10:27:47.159518,-62.333333333333336,-63.0,-57.0
2018-08-17 10:27:47.317534,-62.333333333333336,-63.0,-57.0
2018-08-17 10:27:47.322534,-62.333333333333336,-63.0,-57.0
2018-08-17 10:27:47.475549,-62.333333333333336,-63.0,-57.0
2018-08-17 10:27:47.483550,-62.333333333333336,-63.0,-57.0
2018-08-17 10:27:47.639566,-62.333333333333336,-63.0,-57.0
2018-08-17 10:27:47.646566,-62.333333333333336,-63.0,-57.0
2018-08-17 10:27:47.811583,-62.333333333333336,-63.0,-57.0
2018-08-17 10:27:47.817584,-62.333333333333336,-63.0,-57.0
2018-08-17 10:27:47.970599,-62.333333333333336,-63.0,-57.0
2018-08-17 10:27:47.975599,-62.333333333333336,-63.0,-57.0
2018-08-17 10:27:48.133615,-62.333333333333336,-63.0,-57.0
2018-08-17 10:27:48.149617,-62.333333333333336,-63.0,-57.0
2018-08-17 10:27:48.316633,-62.333333333333336,-63.0,-57.0
2018-08-17 10:27:48.321634,-62.333333333333336,-63.0,-57.0
2018-08-17 10:27:48.481650,-62.333333333333336,-63.0,-57.0
2018-08-17 10:27:48.486650,-62.333333333333336,-63.0,-57.0
2018-08-17 10:27:48.639666,-61.666666666666664,-63.0,-57.0
2018-08-17 10:27:48.643666,-61.666666666666664,-63.0,-57.0
2018-08-17 10:27:48.807683,-61.666666666666664,-63.0,-57.0
2018-08-17 10:27:48.811683,-61.666666666666664,-63.0,-57.0
2018-08-17 10:27:48.970699,-61.666666666666664,-63.0,-57.0
2018-08-17 10:27:48.976699,-61.666666666666664,-63.0,-57.0
2018-08-17 10:27:49.138716,-61.666666666666664,-63.0,-57.0
2018-08-17 10:27:49.142716,-61.666666666666664,-63.0,-57.0
2018-08-17 10:27:49.298732,-61.666666666666664,-63.0,-57.0
2018-08-17 10:27:49.303732,-61.666666666666664,-63.0,-57.0
2018-08-17 10:27:49.454747,-61.666666666666664,-63.0,-57.0
2018-08-17 10:27:49.458748,-61.666666666666664,-63.0,-57.0
2018-08-17 10:27:49.612763,-61.666666666666664,-63.0,-57.0
2018-08-17 10:27:49.618764,-61.666666666666664,-63.0,-57.0
2018-08-17 10:27:49.778780,-61.666666666666664,-63.0,-57.0
2018-08-17 10:27:49.783780,-61.666666666666664,-63.0,-57.0
2018-08-17 10:27:49.945796,-61.666666666666664,-63.0,-57.0
2018-08-17 10:27:49.952797,-61.666666666666664,-63.0,-57.0
2018-08-17 10:27:50.107813,-61.666666666666664,-63.0,-57.0
2018-08-17 10:27:50.114813,-61.666666666666664,-63.0,-57.0
2018-08-17 10:27:50.273829,-61.0,-63.0,-57.0
2018-08-17 10:27:50.279830,-61.0,-63.0,-57.0
2018-08-17 10:27:50.439846,-61.0,-63.0,-57.0
2018-08-17 10:27:50.444846,-61.0,-63.0,-57.0
2018-08-17 10:27:50.607863,-61.0,-63.0,-57.0
2018-08-17 10:27:50.612863,-61.0,-63.0,-57.0
2018-08-17 10:27:50.787881,-61.0,-63.0,-57.0
2018-08-17 10:27:50.793881,-61.0,-63.0,-57.0
2018-08-17 10:27:50.952897,-61.0,-63.0,-57.0
2018-08-17 10:27:50.959898,-61.0,-63.0,-57.0
2018-08-17 10:27:51.116913,-61.0,-63.0,-57.0
2018-08-17 10:27:51.122914,-61.0,-63.0,-57.0
2018-08-17 10:27:51.278930,-61.0,-63.0,-57.0
2018-08-17 10:27:51.282930,-61.0,-63.0,-57.0
2018-08-17 10:27:51.451947,-61.0,-63.0,-57.0
2018-08-17 10:27:51.457948,-61.0,-63.0,-57.0
2018-08-17 10:27:51.614963,-61.0,-63.0,-57.0
2018-08-17 10:27:51.620964,-61.0,-63.0,-57.0
2018-08-17 10:27:51.774979,-61.0,-63.0,-57.0
2018-08-17 10:27:51.778980,-61.0,-63.0,-57.0
2018-08-17 10:27:51.936995,-60.333333333333336,-63.0,-57.0
2018-08-17 10:27:51.944996,-60.333333333333336,-63.0,-57.0
2018-08-17 10:27:52.105012,-60.333333333333336,-63.0,-57.0
2018-08-17 10:27:52.110013,-60.333333333333336,-63.0,-57.0
2018-08-17 10:27:52.267028,-60.333333333333336,-63.0,-57.0
2018-08-17 10:27:52.273029,-60.333333333333336,-63.0,-57.0
2018-08-17 10:27:52.431045,-60.333333333333336,-63.0,-57.0
2018-08-17 10:27:52.436045,-60.333333333333336,-63.0,-57.0
2018-08-17 10:27:52.597061,-60.333333333333336,-63.0,-57.0
2018-08-17 10:27:52.602062,-60.333333333333336,-63.0,-57.0
2018-08-17 10:27:52.760078,-60.333333333333336,-63.0,-57.0
2018-08-17 10:27:52.765078,-60.333333333333336,-63.0,-57.0
2018-08-17 10:27:52.923094,-60.333333333333336,-63.0,-57.0
2018-08-17 10:27:52.929095,-60.333333333333336,-63.0,-57.0
2018-08-17 10:27:53.099112,-60.333333333333336,-63.0,-57.0
2018-08-17 10:27:53.104112,-60.333333333333336,-63.0,-57.0
2018-08-17 10:27:53.256127,-60.333333333333336,-63.0,-57.0
2018-08-17 10:27:53.261128,-60.333333333333336,-63.0,-57.0
2018-08-17 10:27:53.417143,-60.333333333333336,-63.0,-57.0
2018-08-17 10:27:53.422144,-60.333333333333336,-63.0,-57.0
2018-08-17 10:27:53.576159,-59.666666666666664,-63.0,-57.0
2018-08-17 10:27:53.582160,-59.666666666666664,-63.0,-57.0
2018-08-17 10:27:53.736175,-59.666666666666664,-63.0,-57.0
2018-08-17 10:27:53.741176,-59.666666666666664,-63.0,-57.0
2018-08-17 10:27:53.907192,-59.666666666666664,-63.0,-57.0
2018-08-17 10:27:53.912193,-59.666666666666664,-63.0,-57.0
2018-08-17 10:27:54.067208,-59.666666666666664,-63.0,-57.0
2018-08-17 10:27:54.073209,-59.666666666666664,-63.0,-57.0
2018-08-17 10:27:54.235225,-59.666666666666664,-63.0,-57.0
2018-08-17 10:27:54.242226,-59.666666666666664,-63.0,-57.0
2018-08-17 10:27:54.405242,-59.666666666666664,-63.0,-57.0
2018-08-17 10:27:54.410243,-59.666666666666664,-63.0,-57.0
2018-08-17 10:27:54.564258,-59.666666666666664,-63.0,-57.0
2018-08-17 10:27:54.570259,-59.666666666666664,-63.0,-57.0
2018-08-17 10:27:54.730275,-59.666666666666664,-63.0,-57.0
2018-08-17 10:27:54.737275,-59.666666666666664,-63.0,-57.0
2018-08-17 10:27:54.892291,-59.666666666666664,-63.0,-57.0
2018-08-17 10:27:54.899292,-59.666666666666664,-63.0,-57.0
2018-08-17 10:27:55.057307,-59.666666666666664,-63.0,-57.0
2018-08-17 10:27:55.063308,-59.666666666666664,-63.0,-57.0
2018-08-17 10:27:55.218324,-59.0,-63.0,-57.0
2018-08-17 10:27:55.225324,-59.0,-63.0,-57.0
2018-08-17 10:27:55.379340,-59.0,-63.0,-57.0
2018-08-17 10:27:55.383340,-59.0,-63.0,-57.0
2018-08-17 10:27:55.537355,-59.0,-63.0,-57.0
