,state,min,max
2018-08-17 10:24:53.124116,50.0,40.0,70.0
2018-08-17 10:39:13.776173,50.0,40.0,70.0
2018-08-21 11:04:55.322820,50.0,40.0,70.0
2018-08-21 11:05:27.671054,57.0,40.0,70.0
2018-08-21 13:42:53.471817,56.3,40.0,70.0
2018-08-21 18:49:22.812586,56.3,40.0,70.0
2018-08-21 18:49:23.766681,56.3,40.0,70.0
2018-08-21 18:49:24.712776,56.3,40.0,70.0
2018-08-21 18:49:25.662871,56.3,40.0,70.0
2018-08-21 18:49:26.661971,56.3,40.0,70.0
2018-08-21 18:49:27.612066,56.3,40.0,70.0
2018-08-21 18:49:28.465151,56.3,40.0,70.0
2018-08-21 18:49:29.412246,56.3,40.0,70.0
2018-08-21 18:49:30.362341,56.3,40.0,70.0
2018-08-21 18:49:31.225427,56.3,40.0,70.0
2018-08-21 18:49:32.181523,56.3,40.0,70.0
2018-08-21 18:49:33.112616,56.3,40.0,70.0
2018-08-21 18:49:34.062711,56.3,40.0,70.0
2018-08-21 18:49:35.012806,56.3,40.0,70.0
2018-08-21 18:49:35.962901,56.3,40.0,70.0
2018-08-21 18:49:36.920997,56.3,40.0,70.0
2018-08-21 18:49:37.863091,56.3,40.0,70.0
2018-08-21 18:49:38.813186,56.3,40.0,70.0
2018-08-21 18:49:39.763281,56.3,40.0,70.0
2018-08-21 18:49:40.713376,56.3,40.0,70.0
2018-08-21 18:49:41.563461,56.3,40.0,70.0
2018-08-21 18:49:42.513556,56.3,40.0,70.0
2018-08-21 18:49:43.462651,56.3,40.0,70.0
2018-08-21 18:49:44.412746,56.3,40.0,70.0
2018-08-21 18:49:45.361841,56.3,40.0,70.0
2018-08-21 18:49:46.312936,56.3,40.0,70.0
2018-08-21 18:49:47.263031,56.3,40.0,70.0
2018-08-21 18:49:48.213126,56.3,40.0,70.0
2018-08-21 18:49:49.163221,56.3,40.0,70.0
2018-08-21 18:49:50.112316,56.3,40.0,70.0
2018-08-21 18:49:51.063411,56.3,40.0,70.0
2018-08-21 18:49:52.013506,56.3,40.0,70.0
2018-08-21 18:49:52.962601,56.3,40.0,70.0
2018-08-21 18:49:53.913696,56.3,40.0,70.0
2018-08-21 18:49:54.863791,56.3,40.0,70.0
2018-08-21 18:49:55.813886,56.3,40.0,70.0
2018-08-21 18:49:56.763981,56.3,40.0,70.0
2018-08-21 18:49:57.714076,56.3,40.0,70.0
2018-08-21 18:49:58.571161,56.3,40.0,70.0
