1533328561.275036	{"mems_cooling.X": [[0,0]], "mems_cooling.Y": [[0,0]]}
1533578902.715650	{"mems_cooling.X": [[0, 0]], "mems_cooling.Y": [[0, 0]]}	actuate
1533578913.695943	{"mems_cooling.X": [[0, 0]], "mems_cooling.Y": [[0, 0]]}	actuate
1533582175.416373	{"mems_cooling.X": [[0, 0]], "mems_cooling.Y": [[0, 0]]}	actuate
1533582193.525184	{"mems_cooling.X": [[0, 0]], "mems_cooling.Y": [[0, 0]]}	actuate
1533582654.415268	{"mems_cooling.X": [[0, 0]], "mems_cooling.Y": [[0, 0]]}	actuate
1533582654.510278	{"mems_cooling.X": [[0, 0]], "mems_cooling.Y": [[0, 0]]}	actuate
1533582655.275354	{"mems_cooling.X": [[0, 0]], "mems_cooling.Y": [[0, 0]]}	actuate
1533582655.377364	{"mems_cooling.X": [[0, 0]], "mems_cooling.Y": [[0, 0]]}	actuate
1533582655.460373	{"mems_cooling.X": [[0, 0]], "mems_cooling.Y": [[0, 0]]}	actuate
1533582655.546381	{"mems_cooling.X": [[0, 0]], "mems_cooling.Y": [[0, 0]]}	actuate
1533582655.734400	{"mems_cooling.X": [[0, 0]], "mems_cooling.Y": [[0, 0]]}	actuate
1533582655.836411	{"mems_cooling.X": [[0, 0]], "mems_cooling.Y": [[0, 0]]}	actuate
1533582655.929420	{"mems_cooling.X": [[0, 0]], "mems_cooling.Y": [[0, 0]]}	actuate
1533582656.030430	{"mems_cooling.X": [[0, 0]], "mems_cooling.Y": [[0, 0]]}	actuate
1533582656.201447	{"mems_cooling.X": [[0, 0]], "mems_cooling.Y": [[0, 0]]}	actuate
1533582656.293456	{"mems_cooling.X": [[0, 0]], "mems_cooling.Y": [[0, 0]]}	actuate
1533582656.393466	{"mems_cooling.X": [[0, 0]], "mems_cooling.Y": [[0, 0]]}	actuate
1533582656.459473	{"mems_cooling.X": [[0, 0]], "mems_cooling.Y": [[0, 0]]}	actuate
1533582656.578485	{"mems_cooling.X": [[0, 0]], "mems_cooling.Y": [[0, 0]]}	actuate
1533582656.674494	{"mems_cooling.X": [[0, 0]], "mems_cooling.Y": [[0, 0]]}	actuate
1533582656.841511	{"mems_cooling.X": [[0, 0]], "mems_cooling.Y": [[0, 0]]}	actuate
1533582656.981525	{"mems_cooling.X": [[0, 0]], "mems_cooling.Y": [[0, 0]]}	actuate
